1580169,29144,"KBS  는  외교 사실을 그냥그대로 보도해라 , 너희들이 국민들호도하면    자유 대한민국이     공산화가    될 것이라고 믿고 엉터리 거짓 보도를 하는 것이냐  ?   시민들도 이제는 외국의 뉴스를 실시간으로 접하고 잇는데 ,   너희들 그것도 일이라고 보도하고  원급 타서 먹고 사는 것이냐  ?       짐승 만큼도 못  한  인간들아",,,2021-05-22 12:12:11,2021-05-22 12:12:11
1580168,29144,뭘자꾸선언하냐!기냥암것도하지마라!,,,2021-05-22 12:20:20,2021-05-22 12:20:20
1580167,29144,문재인 외교 개 못한다는 조중동에 속은 사람들 가만히 있네 ㅋㅋㅋ,,,2021-05-22 12:39:50,2021-05-22 12:39:50
1580166,29144,북한은 이미 핵을 가지고 있고 포기할 생각이 없는데 맨날 한반도 비핵화 타령이야 미국은 제재완화나 양보한게 하나도 없다고. 그냥 하나마나한 개소리일 뿐이야 정작 중요한 백신 스와프가 무산되서 문재인은 빈손으로 오게 생겼다,,,2021-05-22 12:55:30,2021-05-22 12:55:30
1580165,29144,이보도를ㅡ보고ㅡ전세계ㅡ사람들이ㅡ인류미래에ㅡ희망을ㅡ가질거다ㅡㅡ이성과ㅡ상식이ㅡ세계를ㅡ지배하니,,,2021-05-22 12:58:38,2021-05-22 12:58:38
1580164,29144,팩트는 백신을 못가져 온다는 거네 결국 4년동안 중국 북한만 빨다 우리 국민들만 백신 거지로 만들어 버리네 주위 사람들이 말하는 코르나정권인건 분명하네,,,2021-05-22 14:02:28,2021-05-22 14:02:28
1580163,29144,바이든 옆에 있는 모지리ᆢ 참 없어보인다.,,,2021-05-22 14:08:12,2021-05-22 14:08:12
1580162,29103,"무조건 반대해주세요,, 하던데로",,,2021-05-22 14:07:26,2021-05-22 14:07:26
1580161,29103,오늘 기분 짱이네요..미사일 주권 되찾은 날..ㅎ,,,2021-05-22 14:07:59,2021-05-22 14:07:59
1580160,29103,한국갤럽이 또 여론조사햇다고 조작해서 40프로로 올리겟네 ㅡㅡㅡ,,,2021-05-22 14:08:51,2021-05-22 14:08:51
1580159,29103,사거리에서 해방됐다고 우리가 뭐 중국서부지역 러시아 극동함대사령부 이런데 타격할수있는 탄도미사일을 개발하겠어? 그냥 우주발사체 직접개발할수있게돼서 좋은거지...,,,2021-05-22 14:09:33,2021-05-22 14:09:33
1580158,29103,"우리와중국이갈등생기게하려는 미국의작전일까?,",,,2021-05-22 14:10:43,2021-05-22 14:10:43
1580157,29103,이제 미사일은 조용히 온힘을 다해 개발하면서 중국과도 외교를 강화해 나가는 현명한 전략이 필요. 그동안 문대통령이 해온것 처런 미중 사이레서 힘과 평화 구축 노력울 동시에 잘 할것으로 본다.,,,2021-05-22 14:10:51,2021-05-22 14:10:51
1580156,29103,시진핑 &amp; 김정은이 속 쓰리겠네. 절묘한 미국의 노림수,,,2021-05-22 14:11:35,2021-05-22 14:11:35
1580155,29103,"미사일주권 되찾게 해준, 중국에  감사드린다....",,,2021-05-22 14:13:41,2021-05-22 14:13:41
1580154,29120,"난 골수 민주당 지지였지만, 문재인의 탈원전 정책보고 지지 접었다. 중공을 보라. 국민이 배부르니깐 일당 공산당 독재도 지지한다. 문재인의 탈원전으로 세계 1위였던 원자력 기술이 붕개되고, 마이너스 경제로 돌아서고 기업은 어렵고 국민들은 배고파하고 있다. 지진이 무섭다고 탈원전을 펼칠개 아니라 내진설계를 10.0도 이상으로 높여 세계시장을 장악했어야 했다. 다행히 이재명이가 중앙대 출신이고 두산그룹이 재단이기 때문에 이재명이가 대통령 되면 다시 뒤집을 것이라고 본다.",,,2021-05-22 13:11:14,2021-05-22 13:11:14
1580153,29120,"태양광 다 걷어라
민주 더불어 강간하는 인간들아",,,2021-05-22 13:16:22,2021-05-22 13:16:22
1580152,29120,"또롸이~
국내원전 씨 다 말려놓고 머라 ㅊ 씨 부리고 다니노",,,2021-05-22 13:16:46,2021-05-22 13:16:46
1580151,29120,"ㅜ 울나라 원전 작살내고 수십년 기술 노하우 던져놓고
이게 뭔 뚱딴지 소리

소신이 있으시니 태양광 밀고 가셔야지",,,2021-05-22 13:22:34,2021-05-22 13:22:34
1580150,29120,저 소빡대가리가 크게 일조했지.. 원전 꺾어놓은 저  모자란 대가리통을 부술 날이 곧 올것이다,,,2021-05-22 13:22:54,2021-05-22 13:22:54
1580149,29120,멍뭉이 문재인 꼴깝떠네 지 손으로 찐삥이한테 알랑대느라 같잖은 태양광한답시고 멀쩡한 산 토지 다 갈아엎고 탈원전한다며 감사원장까지 몰아내려하던 간첩같은새키,,,2021-05-22 13:23:12,2021-05-22 13:23:12
1580148,29120,재앙이가 선조처럼 중국으로 도망가지 못하도록 필히 막아야한다. 지멋대로 탈원전해놓고 책임을 져야지~,,,2021-05-22 13:24:31,2021-05-22 13:24:31
1580147,29120,사람인가?,,,2021-05-22 13:25:16,2021-05-22 13:25:16
1580146,29120,그동안 병맛짓한거 뽀록난거지.,,,2021-05-22 13:25:32,2021-05-22 13:25:32
1580145,29120,결국 중국 러시아에 원전시장 내어주려고 우리 원전기술 문재인이 파괴했네. 씹어 먹어도 아까울 놈이네. 죽어도 곱게 못 죽겠다.,,,2021-05-22 13:25:43,2021-05-22 13:25:43
1580144,29120,딴나라 입장이면 하겠냐?지들은 탈원전 한다면서 딴나라에선ㅓ영업하면~쫌 비상식적이지 않냐,,,2021-05-22 13:31:12,2021-05-22 13:31:12
1580143,29120,"저게 성과냐? 원전 우리 혼자 쌉가능하다.. 파이만 나눠준거지..
국내에서는 원전 조지고 북한에는 원전 지어줄라고 하고 미국가서 뭐하는짓꺼리냐..
진짜 치매인가",,,2021-05-22 13:34:24,2021-05-22 13:34:24
1580142,29120,"이 뉴스가 가장 신경쓰는 나라가 중국, 러시아?  아마도 일본일 것이다.",,,2021-05-22 13:34:42,2021-05-22 13:34:42
1580141,29120,한국경제 후퇴하는 걸 막는게 미국대통령이라니 ㅡㅡ,,,2021-05-22 13:41:51,2021-05-22 13:41:51
1580140,29120,한국전력 축하드립니다,,,2021-05-22 13:42:17,2021-05-22 13:42:17
1580139,29120,텍사스정전때 심하게 피해봤잖아 반도체 타격이 컸지 풍력 태양광 빗좋은개살구 설치비용이 원전이 두세배인데  블랙아웃은 밥먹듯이,,,2021-05-22 13:45:29,2021-05-22 13:45:29
1580138,29120,시장 누구때매 다 뺏겻는데 ㅋㅋㅋㅋㅋㅋ 양심도 없노 ㅋㅋㅋㅋ,,,2021-05-22 13:51:22,2021-05-22 13:51:22
1580137,29120,"국썅문재인때문이다,",,,2021-05-22 13:51:52,2021-05-22 13:51:52
1580136,29120,4년동안 얼마나 본인이 ㅂ ㅅ 짓 을 했는지 반성할 인간은 아니겠지?,,,2021-05-22 13:52:41,2021-05-22 13:52:41
1580135,29120,"재앙의 연속, 재앙이는 제발 아무것도 하지 말았으면 한다. 언제 어디서 또다른 사고를 칠지 조마조마 한다",,,2021-05-22 13:55:33,2021-05-22 13:55:33
1580134,29120,부끄러워서 어떻게 비행기타고와서 국내원전관계자만날래,,,2021-05-22 13:57:51,2021-05-22 13:57:51
1580133,29120,"우리나라원전은  공사하던곳도  못하게막더니  
이제와서 원전미국하고 원전수출하자고
문정권  개그하니???  차라리 중국하고 태양광  
합작해라   ㅋ  ㅋ ㅋ",,,2021-05-22 14:00:17,2021-05-22 14:00:17
1580132,29120,"저런 비상식적 사고를 가진자가 대통령이라는것이 부끄럽다.
지금이라도 정책실패를 인정하고 탈원전정책 폐지하라",,,2021-05-22 14:01:03,2021-05-22 14:01:03
1580131,29120,"원자력은 전기차시대에 본격적으로 접어들면 더 중요한 전력원이 될거다.
탈원전같은 소리하네.
탈원전한다면서 수출은 하겠다? 
태양광한다고 멀쩡한 산을 민둥산 만들고.
태양광은 사막이나 황무지가 넓은 국가나 할만한거다.
바보들.",,,2021-05-22 14:03:36,2021-05-22 14:03:36
1580130,29120,문똥  지랄에 원전기술 다 잃고 시장 다 잃고 ㅂㅎ,,,2021-05-22 14:03:51,2021-05-22 14:03:51
1580129,29120,탈원전으로 미국에 기술다주고 이제와서 미국밑으로 들어가냐  잘한다 재앙이,,,2021-05-22 14:05:22,2021-05-22 14:05:22
1580128,29120,진짜 뻔뻔하다.. 탈원전 정책 시행한게 누군데..,,,2021-05-22 14:06:18,2021-05-22 14:06:18
1580127,29120,개인생각으로   나라의 주력산업인  원자력산업을 말살시킨 책임져라!,,,2021-05-22 14:07:47,2021-05-22 14:07:47
1580126,29120,문재앙 이세글자면 왜 세계1등 원전기술 대한민국이 이모양이 된지 다알거다,,,2021-05-22 14:08:36,2021-05-22 14:08:36
1580125,29120,탈원전이 잘못된거지....,,,2021-05-22 14:09:23,2021-05-22 14:09:23
1580124,29120,"문가야
너는 뇌가 없는건가 이가",,,2021-05-22 14:10:27,2021-05-22 14:10:27
1580123,29139,도박꾼들 큰일났네,,,2021-05-22 13:56:06,2021-05-22 13:56:06
1580122,29139,"짱개들은 내인생에 도움이 안되네....
코로나부터  코인까지....
인류의 적",,,2021-05-22 13:56:11,2021-05-22 13:56:11
1580121,29139,중국미국인간들아니들나라에서만애기해라꼴갑떨지말고,,,2021-05-22 13:56:39,2021-05-22 13:56:39
1580120,29139,채굴못하면  희소성 때문에 가격올라가겠네,,,2021-05-22 13:58:14,2021-05-22 13:58:14
1580119,29139,지난달 40억 벌었다고 사표쓰고 나간 동료는 잘 버티고 있겠지? 6월이 고점이라고 그때 판다던데..,,,2021-05-22 13:59:25,2021-05-22 13:59:25
1580118,29139,고마해라 인생 망친다,,,2021-05-22 13:59:31,2021-05-22 13:59:31
1580117,29139,중국부터 시작해서 미국까지 규제하면 코인은 이제 단순 게임머니 수준으로 전락할 것이다. 머스크나 자산가들은이미 다 털고 빠졌다고 본다,,,2021-05-22 13:59:58,2021-05-22 13:59:58
1580116,29139,훗,,,2021-05-22 14:02:17,2021-05-22 14:02:17
1580115,29139,나름 열심히 내 일하면서 차곡차곡모은다고 생각하는데 비트코인땜에 박탈감쩔엇엇는데 투자하는사람들에겐 미안하지만 내입장에선 다행 덜배아프네.. 이런리스크도 안아가면서 투자해서 성공하는거면 일획천금이 아니고 위험부담 안고 노력해서 버는거다.. 인정!,,,2021-05-22 14:02:18,2021-05-22 14:02:18
1580114,29139,"내일 출근을 할것이냐, 지금 한강을 갈 것이냐... 우선 정신부터 차려라",,,2021-05-22 14:03:00,2021-05-22 14:03:00
1580113,29139,ㅜㅜㅜㅜ 속상하네. ㅜㅜㅜㅜ,,,2021-05-22 14:04:09,2021-05-22 14:04:09
1580112,29139,3400까지 내려올것같다. ㅜㅜㅜㅜ,,,2021-05-22 14:05:14,2021-05-22 14:05:14
1580111,29139,지금까지보면 떨어질때가 매수타이밍인거같은데 많은돈을 넣기에는 너무쫄림,,,2021-05-22 14:05:20,2021-05-22 14:05:20
1580110,29139,싸개 잘삿다 ㅋㅋㅋ 개꿀,,,2021-05-22 14:07:58,2021-05-22 14:07:58
1580109,29143,국격도 지키고 실리도 챙기고. 국짐당의 이명박근혜 였다면 바이든이 원하는말만 잔뜩하고 꼬리만 흔들다 왔을텐데. 아베와 스가랑 다를게 하나도 없는 국짐당수준.,,,2021-05-22 11:45:38,2021-05-22 11:45:38
1580108,29143,역시 삼성이 하드캐리하면서 한국 먹여살리네요. 국제 진따 문재앙은 언제나처럼 망신조롱만 당하는중 ㅋㅋ,,,2021-05-22 11:52:47,2021-05-22 11:52:47
